gid	code
MSTRG.10025.1	LEPF
MSTRG.10025.2	LEPF
MSTRG.10025.3	LEPF
MSTRG.10025.4	LEPF
MSTRG.10025.5	LEPF
MSTRG.10025.6	LEPF
MSTRG.10025.7	LEPF
MSTRG.10026.1	LFPC
MSTRG.10027.1	LFPC
MSTRG.10028.1	LFPC
MSTRG.10029.1	LEPF
MSTRG.10029.2	LEPF
MSTRG.10029.3	LEPF
MSTRG.1003.1	LEPF
MSTRG.10030.1	LFPC
MSTRG.10031.1	LFPC
MSTRG.10032.1	LEPF
MSTRG.10032.2	LEPF
MSTRG.10033.1	LEFF
MSTRG.10034.1	LEPF
MSTRG.10034.2	LEFF
MSTRG.10034.3	LEFF
MSTRG.10034.4	LEFF
MSTRG.10034.5	LEFF
MSTRG.10034.6	LEFF
MSTRG.10034.7	LEPF
MSTRG.10034.8	LEPF
MSTRG.10035.1	LEPF
MSTRG.10036.1	LFPC
MSTRG.10037.1	LFPC
MSTRG.10038.1	LEPF
MSTRG.10038.2	LEPF
MSTRG.10039.1	LEFF
MSTRG.10039.2	LEFF
MSTRG.10039.3	LEFF
MSTRG.10039.4	LEFF
MSTRG.1004.1	LFPF
MSTRG.10040.1	LEFF
MSTRG.10041.1	LEPF
MSTRG.10041.2	LEPF
MSTRG.10041.3	LEPF
MSTRG.10042.1	LEPF
MSTRG.10043.1	LEFF
MSTRG.10043.2	LEFF
MSTRG.10043.3	LEFF
MSTRG.10044.1	LEPF
MSTRG.10045.1	LEFF
MSTRG.10045.2	LEFF
MSTRG.10046.1	LFPC
MSTRG.10047.1	LEFF
MSTRG.10047.2	LEFF
MSTRG.10047.3	LEFF
MSTRG.10047.4	LEFF
MSTRG.10047.5	LEPF
MSTRG.10048.1	LEPF
MSTRG.10049.1	LEPF
MSTRG.10049.2	LEPF
MSTRG.1005.1	LFPF
MSTRG.10050.1	LEFF
MSTRG.10050.2	LEPF
MSTRG.10051.1	LEPF
MSTRG.10051.2	LEPF
MSTRG.10052.1	LEPF
MSTRG.10053.1	LEPF
MSTRG.10053.2	LEPF
MSTRG.10053.3	LEPF
MSTRG.10053.4	LEPF
MSTRG.10053.5	LEPF
MSTRG.10053.6	LEPF
MSTRG.10053.7	LEPF
MSTRG.10053.8	LEPF
MSTRG.10053.9	LEPF
MSTRG.10054.1	LEPF
MSTRG.10054.2	LEPF
MSTRG.10054.3	LEPF
MSTRG.10054.4	LEPF
MSTRG.10054.5	LEPF
MSTRG.10054.6	LEPF
MSTRG.10055.1	LEFF
MSTRG.10055.2	LEFF
MSTRG.10055.3	LEFF
MSTRG.10055.4	LEFF
MSTRG.10055.5	LEPF
MSTRG.10056.1	LEPF
MSTRG.10057.1	LFPC
MSTRG.10058.1	LFPC
MSTRG.10059.1	LFPC
MSTRG.1006.1	LFPF
MSTRG.10060.1	LFPC
MSTRG.10061.1	LFPC
MSTRG.10062.1	LFPC
MSTRG.10063.1	LFPC
MSTRG.10064.1	LEPF
MSTRG.10065.1	LEPF
MSTRG.10065.2	LEPF
MSTRG.10066.1	LFPF
MSTRG.10067.1	LFPC
MSTRG.10068.1	LFPC
MSTRG.10069.1	LEFF
MSTRG.10069.2	LEFF
MSTRG.1007.1	LFPC
MSTRG.10070.1	LEPF
MSTRG.10071.1	LFPF
MSTRG.10072.1	LEPF
MSTRG.10073.1	LEPF
MSTRG.10074.1	LEPF
MSTRG.10075.1	LEPF
MSTRG.10077.1	LEPF
MSTRG.10077.2	LEPF
MSTRG.10077.3	LEPF
MSTRG.10078.1	LEFF
MSTRG.10078.2	LEPF
MSTRG.10078.3	LEPF
MSTRG.10078.4	LEPF
MSTRG.10078.5	LEFF
MSTRG.10078.6	LEFF
MSTRG.10079.1	LEPF
MSTRG.1008.1	LFPF
MSTRG.10080.1	LEPF
MSTRG.10081.1	LEPF
MSTRG.10082.1	LEPF
MSTRG.10083.1	LEFF
MSTRG.10083.2	LEPF
MSTRG.10084.1	LEPF
MSTRG.10084.2	LEPF
MSTRG.10085.1	LEFF
MSTRG.10086.1	LFPC
MSTRG.10088.1	LFPC
MSTRG.10089.1	LEPF
MSTRG.10089.2	LEPF
MSTRG.1009.1	LFPF
MSTRG.10090.1	FFPC
MSTRG.10091.1	LFPC
MSTRG.10092.1	LFPC
MSTRG.10093.1	LFPC
MSTRG.10094.1	LEPF
MSTRG.10094.2	LEPF
MSTRG.10094.3	LEPF
MSTRG.10094.4	LEFF
MSTRG.10094.5	LEFF
MSTRG.10094.6	LEPF
MSTRG.10095.1	LEPF
MSTRG.10095.2	LEPF
MSTRG.10095.3	LEPF
MSTRG.10096.1	LFPC
MSTRG.10097.1	LFPC
MSTRG.10098.1	LFPF
MSTRG.10099.1	LFPC
MSTRG.101.1	LEFF
MSTRG.101.2	LEFF
MSTRG.101.3	LEFF
MSTRG.101.4	LEFF
MSTRG.101.5	LEFF
MSTRG.101.6	LEFF
MSTRG.1010.1	LFPF
MSTRG.10100.1	LEPF
MSTRG.10100.10	LEPF
MSTRG.10100.11	LEPF
MSTRG.10100.12	LEPF
MSTRG.10100.13	LEPF
MSTRG.10100.14	LEPF
MSTRG.10100.15	LEPF
MSTRG.10100.2	LEPF
MSTRG.10100.3	LEPF
MSTRG.10100.4	LEPF
MSTRG.10100.5	LEPF
MSTRG.10100.6	LEPF
MSTRG.10100.7	LEPF
MSTRG.10100.8	LEPF
MSTRG.10100.9	LEPF
MSTRG.10101.1	LFPC
MSTRG.10102.1	LFPC
MSTRG.10103.1	LFPF
MSTRG.10104.1	LEFF
MSTRG.10105.1	LEFF
MSTRG.10106.1	LEPF
MSTRG.10107.1	LFPF
MSTRG.10108.1	LFPF
MSTRG.10109.1	LEPF
MSTRG.10109.2	LEFF
MSTRG.10109.3	LEFF
MSTRG.1011.1	LFPC
MSTRG.10110.1	LEFF
MSTRG.10110.2	LEFF
MSTRG.10110.3	LEPF
MSTRG.10110.4	LEPF
MSTRG.10111.1	LEFF
MSTRG.10111.2	LEFF
MSTRG.10111.3	LEFF
MSTRG.10112.1	LFPC
MSTRG.10113.1	LFPC
MSTRG.10114.1	LEFF
MSTRG.10114.2	LEFF
MSTRG.10114.3	LEFF
MSTRG.10115.1	LFPC
MSTRG.10116.1	LEPF
MSTRG.10116.2	LEPF
MSTRG.10116.3	LEPF
MSTRG.10116.4	LEPF
MSTRG.10116.5	LEPF
MSTRG.10116.6	LEPF
MSTRG.10117.1	LEPF
MSTRG.10117.10	LEPF
MSTRG.10117.2	LEPF
MSTRG.10117.3	LEPF
MSTRG.10117.4	LEPF
MSTRG.10117.5	LEPF
MSTRG.10117.6	LEPF
MSTRG.10117.7	LEPF
MSTRG.10117.8	LEPF
MSTRG.10117.9	LEPF
MSTRG.10118.1	LEPF
MSTRG.10118.2	LEPF
MSTRG.10119.1	LEPF
MSTRG.10119.2	LEPF
MSTRG.10119.3	LEPF
MSTRG.10119.4	LEPF
MSTRG.1012.1	LEPF
MSTRG.10120.1	LFFC
MSTRG.10120.2	LEFC
MSTRG.10121.1	LEPF
MSTRG.10121.2	LEFF
MSTRG.10121.3	LEPF
MSTRG.10121.4	LEPF
MSTRG.10122.1	LEPF
MSTRG.10122.2	LEPF
MSTRG.10122.3	LEPF
MSTRG.10122.4	LEPF
MSTRG.10123.1	LEPF
MSTRG.10123.2	LEPF
MSTRG.10124.1	LFPC
MSTRG.10125.1	LFPC
MSTRG.10126.1	LFPC
MSTRG.10127.1	LEPF
MSTRG.10128.1	LFPC
MSTRG.10129.1	LFPF
MSTRG.1013.1	LEPF
MSTRG.1013.2	LEFF
MSTRG.10130.1	LEPF
MSTRG.10130.2	LEPF
MSTRG.10130.3	LEPF
MSTRG.10131.1	FFPC
MSTRG.10132.1	LFPC
MSTRG.10133.1	LEFF
MSTRG.10133.2	LEFF
MSTRG.10133.3	LEFF
MSTRG.10133.4	LEFF
MSTRG.10133.5	LEPF
MSTRG.10133.6	LEPF
MSTRG.10133.7	LEPF
MSTRG.10134.1	LFPF
MSTRG.10135.1	LEFF
MSTRG.10136.1	LEFF
MSTRG.10136.10	LEPF
MSTRG.10136.11	LEPF
MSTRG.10136.12	LEPF
MSTRG.10136.13	LEPF
MSTRG.10136.2	LEFF
MSTRG.10136.3	LEPF
MSTRG.10136.4	LEPF
MSTRG.10136.5	LEPF
MSTRG.10136.6	LEPF
MSTRG.10136.7	LEPF
MSTRG.10136.8	LEPF
MSTRG.10136.9	LEPF
MSTRG.10137.1	LEFF
MSTRG.10137.2	LEFF
MSTRG.10138.1	LEPF
MSTRG.10138.2	LEPF
MSTRG.10138.3	LEPF
MSTRG.10139.1	LEPF
MSTRG.10139.2	LEPF
MSTRG.1014.1	LFPF
MSTRG.10140.1	LEPF
MSTRG.10140.2	LEPF
MSTRG.10141.1	LEPF
MSTRG.10141.2	LEPF
MSTRG.10142.1	LEPF
MSTRG.10142.2	LEPF
MSTRG.10142.3	LEPF
MSTRG.10142.4	LEPF
MSTRG.10142.5	LEPF
MSTRG.10142.6	LEPF
MSTRG.10143.1	LEFF
MSTRG.10144.1	LEPF
MSTRG.10144.2	LEPF
MSTRG.10144.3	LEPF
MSTRG.10144.4	LEPF
MSTRG.10144.5	LEPF
MSTRG.10144.6	LEPF
MSTRG.10144.7	LEPF
MSTRG.10145.1	LEFF
MSTRG.10145.2	LEFF
MSTRG.10146.1	LEPF
MSTRG.10146.2	LEPF
MSTRG.10147.1	LEPF
MSTRG.10147.2	LEPF
MSTRG.10147.3	LEPF
MSTRG.10147.4	LEPF
MSTRG.10148.1	LEPF
MSTRG.10149.1	LEPF
MSTRG.10149.2	LEPF
MSTRG.1015.1	LFPC
MSTRG.10150.1	LEPF
MSTRG.10150.2	LEPF
MSTRG.10150.3	LEPF
MSTRG.10150.4	LEPF
MSTRG.10150.5	LEPF
MSTRG.10151.1	LEFF
MSTRG.10151.2	LEFF
MSTRG.10152.1	LEPF
MSTRG.10152.2	LEPF
MSTRG.10152.3	LEPF
MSTRG.10153.1	LEFF
MSTRG.10154.1	LEPF
MSTRG.10154.2	LEPF
MSTRG.10155.1	LEPF
MSTRG.10156.1	LFPC
MSTRG.10157.1	LEFF
MSTRG.10157.2	LEPF
MSTRG.10157.3	LEFF
MSTRG.10157.4	LEFF
MSTRG.10158.1	LEPF
MSTRG.10159.1	LEPF
MSTRG.10159.2	LEPF
MSTRG.10159.3	LEPF
MSTRG.1016.1	LEPF
MSTRG.10160.1	LEFF
MSTRG.10160.2	LEPF
MSTRG.10160.3	LEPF
MSTRG.10160.4	LEFF
MSTRG.10161.1	LEFF
MSTRG.10161.2	LEFF
MSTRG.10161.3	LEFF
MSTRG.10161.4	LEFF
MSTRG.10162.1	LFPF
MSTRG.10163.1	LFPC
MSTRG.10164.1	LFPC
MSTRG.10165.1	LFPC
MSTRG.10166.1	FFPC
MSTRG.10167.1	LEPF
MSTRG.10167.2	LEPF
MSTRG.10167.3	LEPF
MSTRG.10167.4	LEPF
MSTRG.10167.5	LEPF
MSTRG.10168.1	LEPF
MSTRG.10168.2	LEPF
MSTRG.10168.3	LEFF
MSTRG.10169.1	LEFF
MSTRG.10169.2	LEPF
MSTRG.10169.3	LEPF
MSTRG.10169.4	LEPF
MSTRG.10169.5	LEPF
MSTRG.1017.1	LEFF
MSTRG.10170.1	LEFF
MSTRG.10171.1	LEPF
MSTRG.10172.1	LEFF
MSTRG.10172.2	LEPF
MSTRG.10173.1	LEPF
MSTRG.10173.2	LEPF
MSTRG.10173.3	LEPF
MSTRG.10173.4	LEPF
MSTRG.10173.5	LEPF
MSTRG.10173.6	LEPF
MSTRG.10174.1	LEPF
MSTRG.10174.2	LEPF
MSTRG.10175.1	LFPF
MSTRG.10176.1	LEPF
MSTRG.10176.2	LEPF
MSTRG.10176.3	LEPF
MSTRG.10176.4	LEPF
MSTRG.10176.5	LEPF
MSTRG.10176.6	LEPF
MSTRG.10176.7	LEPF
MSTRG.10176.8	LEPF
MSTRG.10176.9	LEPF
MSTRG.10177.1	LEPF
MSTRG.10177.2	LEPF
MSTRG.10178.1	LFPC
MSTRG.10179.1	LEFF
MSTRG.10179.2	LEFF
MSTRG.10179.3	LEPF
MSTRG.10179.4	LEPF
MSTRG.10179.5	LEPF
MSTRG.10179.6	LEPF
MSTRG.10179.7	LEPF
MSTRG.1018.1	LEPF
MSTRG.1018.2	LEPF
MSTRG.1018.3	LEPF
MSTRG.1018.4	LEPF
MSTRG.10180.1	LFPC
MSTRG.10181.1	LEFF
MSTRG.10181.2	LEFF
MSTRG.10181.3	LEFF
MSTRG.10181.4	LEFF
MSTRG.10181.5	LEFF
MSTRG.10181.6	LEFF
MSTRG.10181.7	LEFF
MSTRG.10181.8	LEFF
MSTRG.10181.9	LEFF
MSTRG.10182.1	LEFF
MSTRG.10182.2	LEFF
MSTRG.10183.1	LFPC
MSTRG.10184.1	LFPC
MSTRG.10185.1	LEPF
MSTRG.10186.1	LEPF
MSTRG.10186.2	LEPF
MSTRG.10186.3	LEPF
MSTRG.10186.4	LEPF
MSTRG.10186.5	LEPF
MSTRG.10186.6	LEPF
MSTRG.10186.7	LEPF
MSTRG.10187.1	LEFF
MSTRG.10188.1	LEPF
MSTRG.10188.2	LEPF
MSTRG.10188.3	LEPF
MSTRG.10188.4	LEPF
MSTRG.10188.5	LEPF
MSTRG.10188.6	LEPF
MSTRG.10189.1	LEPF
MSTRG.10189.2	LEPF
MSTRG.10189.3	LEPF
MSTRG.10189.4	LEPF
MSTRG.1019.1	LEPF
MSTRG.1019.2	LEPF
MSTRG.1019.3	LEPF
MSTRG.1019.4	LEPF
MSTRG.1019.5	LEPF
MSTRG.1019.6	LEPF
MSTRG.10190.1	LEPF
MSTRG.10191.1	LEPF
MSTRG.10191.10	LEPF
MSTRG.10191.11	LEPF
MSTRG.10191.12	LEPF
MSTRG.10191.13	LEPF
MSTRG.10191.14	LEPF
MSTRG.10191.15	LEPF
MSTRG.10191.2	LEPF
MSTRG.10191.3	LEPF
MSTRG.10191.4	LEPF
MSTRG.10191.5	LEPF
MSTRG.10191.6	LEPF
MSTRG.10191.7	LEPF
MSTRG.10191.8	LEPF
MSTRG.10191.9	LEFF
MSTRG.10192.1	LFPC
MSTRG.10193.1	LFPC
MSTRG.10194.1	LFPC
MSTRG.10195.1	LFPC
MSTRG.10196.1	LFPC
MSTRG.10197.1	LEPF
MSTRG.10197.2	LEPF
MSTRG.10197.3	LEPF
MSTRG.10197.4	LEPF
MSTRG.10198.1	LEPF
MSTRG.10199.1	LEFF
MSTRG.10199.10	LEFF
MSTRG.10199.2	LEFF
MSTRG.10199.3	LEFF
MSTRG.10199.4	LEFF
MSTRG.10199.5	LEFF
MSTRG.10199.6	LEFF
MSTRG.10199.7	LEFF
MSTRG.10199.8	LEFF
MSTRG.10199.9	LEFF
MSTRG.102.1	LFPF
MSTRG.1020.1	LEFF
MSTRG.1020.2	LEFF
MSTRG.1020.3	LEFF
MSTRG.1020.4	LEFF
MSTRG.10200.1	LEPF
MSTRG.10200.2	LEFF
MSTRG.10200.3	LEPF
MSTRG.10200.4	LEPF
MSTRG.10200.5	LEPF
MSTRG.10201.1	LEPF
MSTRG.10202.1	LFPC
MSTRG.10203.1	LEPF
MSTRG.10203.2	LEPF
MSTRG.10203.3	LEPF
MSTRG.10204.1	FFPC
MSTRG.10205.1	LEFF
MSTRG.10205.2	LEFF
MSTRG.10205.3	LEPF
MSTRG.10205.4	LEPF
MSTRG.10206.1	LEFF
MSTRG.10207.1	LEFF
MSTRG.10208.1	LEPF
MSTRG.10209.1	LEFF
MSTRG.1021.1	LFPC
MSTRG.10210.1	LEFF
MSTRG.10211.1	LEFF
MSTRG.10212.1	LEPF
MSTRG.10212.2	LEPF
MSTRG.10212.3	LEPF
MSTRG.10212.4	LEPF
MSTRG.10213.1	LEFF
MSTRG.10213.10	LEFF
MSTRG.10213.11	LEFF
MSTRG.10213.2	LEFF
MSTRG.10213.3	LEFF
MSTRG.10213.4	LEFF
MSTRG.10213.5	LEFF
MSTRG.10213.6	LEFF
MSTRG.10213.7	LEPF
MSTRG.10213.8	LEFF
MSTRG.10213.9	LEFF
MSTRG.10214.1	LEPF
MSTRG.10214.2	LEPF
MSTRG.10214.3	LEPF
MSTRG.10216.1	LEPF
MSTRG.10217.1	LEFF
MSTRG.10217.2	LEFF
MSTRG.10218.1	LFPC
MSTRG.10219.1	LFPC
MSTRG.1022.1	LFPC
MSTRG.10220.1	LFPC
MSTRG.10221.1	LFPC
MSTRG.10222.1	LFPC
MSTRG.10223.1	LFPC
MSTRG.10224.1	LFPC
MSTRG.10225.1	LEFF
MSTRG.10226.1	LEPF
MSTRG.10227.1	LEPF
MSTRG.10228.1	LEPF
MSTRG.10229.1	LFPF
MSTRG.1023.1	LEFF
MSTRG.10230.1	LFPF
MSTRG.10231.1	LFPC
MSTRG.10233.1	LEPF
MSTRG.10233.2	LEPF
MSTRG.10235.1	LEPF
MSTRG.10235.10	LEPF
MSTRG.10235.11	LEPF
MSTRG.10235.12	LEPF
MSTRG.10235.13	LEFF
MSTRG.10235.14	LEPF
MSTRG.10235.15	LEPF
MSTRG.10235.16	LEPF
MSTRG.10235.17	LEPF
MSTRG.10235.18	LEPF
MSTRG.10235.19	LEFF
MSTRG.10235.2	LEPF
MSTRG.10235.20	LEPF
MSTRG.10235.21	LEPF
MSTRG.10235.3	LEPF
MSTRG.10235.4	LEPF
MSTRG.10235.5	LEPF
MSTRG.10235.6	LEFF
MSTRG.10235.7	LEPF
MSTRG.10235.8	LEPF
MSTRG.10235.9	LEPF
MSTRG.10236.1	LFPF
MSTRG.10237.1	LFPF
MSTRG.10238.1	LEFF
MSTRG.10239.1	LEPF
MSTRG.10239.2	LEPF
MSTRG.10239.3	LEPF
MSTRG.10239.4	LEPF
MSTRG.10239.5	LEPF
MSTRG.1024.1	LFPC
MSTRG.10240.1	LFPC
MSTRG.10241.1	LFPC
MSTRG.10242.1	LFFC
MSTRG.10244.1	LEPF
MSTRG.10245.1	LFPC
MSTRG.10246.1	LFPF
MSTRG.10247.1	LFPC
MSTRG.10248.1	LEPF
MSTRG.10249.1	LEFF
MSTRG.10249.2	LEPF
MSTRG.1025.1	LFPC
MSTRG.10250.1	LEFF
MSTRG.10250.2	LEFF
MSTRG.10251.1	LEPF
MSTRG.10251.2	LEPF
MSTRG.10251.3	LEPF
MSTRG.10251.4	LEPF
MSTRG.10251.5	LEPF
MSTRG.10251.6	LEPF
MSTRG.10251.7	LEPF
MSTRG.10251.8	LEPF
MSTRG.10251.9	LEPF
MSTRG.10252.1	LFPC
MSTRG.10253.1	LFPF
MSTRG.10254.1	LEPF
MSTRG.10255.1	LEPF
MSTRG.10255.2	LEPF
MSTRG.10255.3	LEPF
MSTRG.10255.4	LEPF
MSTRG.10255.5	LEPF
MSTRG.10255.6	LEPF
MSTRG.10255.7	LEPF
MSTRG.10255.8	LEPF
MSTRG.10255.9	LEPF
MSTRG.10256.1	LFPC
MSTRG.10257.1	LFPC
MSTRG.10258.1	LFPC
MSTRG.10259.1	LFPC
MSTRG.1026.1	LEFF
MSTRG.10260.1	LEFF
MSTRG.10261.1	LEPF
MSTRG.10261.2	LEPF
MSTRG.10261.3	LEPF
MSTRG.10262.1	LEPF
MSTRG.10263.1	LEPF
MSTRG.10263.2	LEPF
MSTRG.10263.3	LEPF
MSTRG.10263.4	LEPF
MSTRG.10263.5	LEFF
MSTRG.10263.6	LEFF
MSTRG.10263.7	LEPF
MSTRG.10263.8	LEPF
MSTRG.10263.9	LEPF
MSTRG.10264.1	LEFF
MSTRG.10265.1	LEPF
MSTRG.10265.2	LEPF
MSTRG.10265.3	LEPF
MSTRG.10266.1	LEPF
MSTRG.10266.10	LEPF
MSTRG.10266.11	LEPF
MSTRG.10266.12	LEPF
MSTRG.10266.13	LEPF
MSTRG.10266.14	LEPF
MSTRG.10266.15	LEPF
MSTRG.10266.16	LEPF
MSTRG.10266.2	LEPF
MSTRG.10266.3	LEPF
MSTRG.10266.4	LEPF
MSTRG.10266.5	LEPF
MSTRG.10266.6	LEPF
MSTRG.10266.7	LEPF
MSTRG.10266.8	LEPF
MSTRG.10266.9	LEPF
MSTRG.10267.1	LFPC
MSTRG.10268.1	LFPC
MSTRG.10269.1	LEPF
MSTRG.10269.10	LEPF
MSTRG.10269.11	LEPF
MSTRG.10269.12	LEPF
MSTRG.10269.13	LEPF
MSTRG.10269.14	LEPF
MSTRG.10269.15	LEPF
MSTRG.10269.16	LEPF
MSTRG.10269.17	LEPF
MSTRG.10269.18	LEPF
MSTRG.10269.19	LEPF
MSTRG.10269.2	LEPF
MSTRG.10269.3	LEFF
MSTRG.10269.4	LEPF
MSTRG.10269.5	LEPF
MSTRG.10269.6	LEFF
MSTRG.10269.7	LEFF
MSTRG.10269.8	LEFF
MSTRG.10269.9	LEPF
MSTRG.1027.1	LFPC
MSTRG.10270.1	LEPF
MSTRG.10270.10	LEPF
MSTRG.10270.11	LEPF
MSTRG.10270.12	LEPF
MSTRG.10270.13	LEFF
MSTRG.10270.14	LEFF
MSTRG.10270.2	LEPF
MSTRG.10270.3	LEPF
MSTRG.10270.4	LEPF
MSTRG.10270.5	LEPF
MSTRG.10270.6	LEPF
MSTRG.10270.7	LEPF
MSTRG.10270.8	LEPF
MSTRG.10270.9	LEPF
MSTRG.10271.1	LFPC
MSTRG.10272.1	LFPF
MSTRG.10273.1	LEPF
MSTRG.10274.1	LEPF
MSTRG.10275.1	LEPF
MSTRG.10275.2	LEPF
MSTRG.10275.3	LEPF
MSTRG.10275.4	LEPF
MSTRG.10276.1	LEPF
MSTRG.10276.2	LEPF
MSTRG.10276.3	LEPF
MSTRG.10276.4	LEPF
MSTRG.10277.1	LEPF
MSTRG.10277.10	LEPF
MSTRG.10277.11	LEPF
MSTRG.10277.12	LEPF
MSTRG.10277.13	LEPF
MSTRG.10277.14	LEPF
MSTRG.10277.15	LEPF
MSTRG.10277.2	LEPF
MSTRG.10277.3	LEPF
MSTRG.10277.4	LEPF
MSTRG.10277.5	LEPF
MSTRG.10277.6	LEPF
MSTRG.10277.7	LEPF
MSTRG.10277.8	LEPF
MSTRG.10277.9	LEPF
MSTRG.10278.1	LFFF
MSTRG.10279.1	LEPF
MSTRG.1028.1	LFPC
MSTRG.10280.1	LEFF
MSTRG.10280.2	LEFF
MSTRG.10280.3	LEFF
MSTRG.10280.4	LEFF
MSTRG.10280.5	LEPF
MSTRG.10281.1	LFPC
MSTRG.10282.1	LFPC
MSTRG.10283.1	LFPC
MSTRG.10284.1	LFPC
MSTRG.10285.1	LEPF
MSTRG.10286.1	LFPC
MSTRG.10287.1	LEFF
MSTRG.10287.2	LEFF
MSTRG.10287.3	LEFF
MSTRG.10287.4	LEFF
MSTRG.10287.5	LEFF
MSTRG.10287.6	LEFF
MSTRG.10287.7	LEFF
MSTRG.10288.1	LEFF
MSTRG.1029.1	LEFF
MSTRG.1029.2	LEFF
MSTRG.10290.1	LEFF
MSTRG.10290.2	LEFF
MSTRG.10291.1	LEFF
MSTRG.10291.2	LEFF
MSTRG.10291.3	LEFF
MSTRG.10291.4	LEFF
MSTRG.10291.5	LEFF
MSTRG.10291.6	LEFF
MSTRG.10291.7	LEFF
MSTRG.10292.1	LEFF
MSTRG.10292.10	LEFF
MSTRG.10292.11	LEFF
MSTRG.10292.12	LEFF
MSTRG.10292.13	LEFF
MSTRG.10292.2	LEFF
MSTRG.10292.3	LEFF
MSTRG.10292.4	LEFF
MSTRG.10292.5	LEFF
MSTRG.10292.6	LEFF
MSTRG.10292.7	LEFF
MSTRG.10292.8	LEFF
MSTRG.10292.9	LEFF
MSTRG.10293.1	LFPC
MSTRG.10294.1	LFPC
MSTRG.10296.1	LFPF
MSTRG.10297.1	LFPF
MSTRG.10298.1	LEFF
MSTRG.10298.2	LEFF
MSTRG.10299.1	LEFF
MSTRG.10299.2	LEFF
MSTRG.10299.3	LEPF
MSTRG.103.1	LFPF
MSTRG.1030.1	LEPF
MSTRG.10300.1	LFFF
MSTRG.10301.1	LEFF
MSTRG.10301.2	LEFF
MSTRG.10301.3	LEFF
MSTRG.10301.4	LEFF
MSTRG.10301.5	LEPF
MSTRG.10301.6	LEPF
MSTRG.10301.7	LEPF
MSTRG.10301.8	LEPF
MSTRG.10301.9	LEPF
MSTRG.10302.1	LEFF
MSTRG.10303.1	LEFF
MSTRG.10303.2	LEFF
MSTRG.10303.3	LEPF
MSTRG.10303.4	LEFF
MSTRG.10303.5	LEFF
MSTRG.10304.1	LEPF
MSTRG.10304.2	LEPF
MSTRG.10304.3	LEPF
MSTRG.10305.1	LEFF
MSTRG.10305.2	LEFF
MSTRG.10306.1	LEPF
MSTRG.10306.10	LEPF
MSTRG.10306.11	LEPF
MSTRG.10306.12	LEPF
MSTRG.10306.13	LEPF
MSTRG.10306.14	LEFF
MSTRG.10306.15	LEFF
MSTRG.10306.2	LEPF
MSTRG.10306.3	LEPF
MSTRG.10306.4	LEPF
MSTRG.10306.5	LEPF
MSTRG.10306.6	LEPF
MSTRG.10306.7	LEPF
MSTRG.10306.8	LEPF
MSTRG.10306.9	LEPF
MSTRG.10307.1	LEPF
MSTRG.10307.2	LEPF
MSTRG.10307.3	LEPF
MSTRG.10307.4	LEPF
MSTRG.10308.1	LEFF
MSTRG.10308.2	LEFF
MSTRG.10308.3	LEFF
MSTRG.10308.4	LEFF
MSTRG.10308.5	LEFF
MSTRG.10308.6	LEFF
MSTRG.10308.7	LEFF
