mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
MSTRG.52.1	24941	360	0.713	-0.0353158071193	0.114409978565621
MSTRG.51.1	287	111	0.927	-0.184370956159	0.0299235434705353
MSTRG.54.1	6233	375	0.5042	-0.171256499099	0.0797887178852569
MSTRG.55.1	2440	285	0.7085	-0.105537859813	0.0864767036657252
MSTRG.56.1	37695	345	0.6748	-0.282351269527	0.0283669667062004
MSTRG.60.1	17576	270	0.666	-0.464720418937	0.0125316507059419
MSTRG.57.1	689	156	0.7738	-0.490502393712	0.00901401735858339
MSTRG.59.1	6456	225	0.939	-0.554569328895	0.0135003509523219
MSTRG.58.1	1360	231	0.7215	-0.164485017382	0.0502727672256729
MSTRG.61.1	1748	192	0.7206	-0.103846670273	0.0482013267220303
MSTRG.64.1	32555	414	0.7879	-0.0648979507962	0.139874148046071
MSTRG.65.1	1009	210	0.5773	-0.316070722681	0.0185240720985902
MSTRG.66.1	719	129	0.5496	-0.214918143063	0.0149838550054784
MSTRG.67.1	256	63	0.835	0.0297191710744	0.0422826933109557
MSTRG.68.1	281	216	0.7191	0.155000686344	0.151872618452452
MSTRG.69.1	244	126	0.7792	0.0106212492435	0.0548303411467193
MSTRG.70.1	227	141	0.42	-0.177386299962	0.0151399071480353
MSTRG.71.1	294	42	0.8933	-0.0129997002331	0.0342625310978851
MSTRG.72.1	240	45	0.709	-0.136529460924	0.0153113600334986
MSTRG.73.1	658	207	0.5988	-0.560763479099	0.00707646736850907
MSTRG.74.1	7008	351	0.4822	-0.258697511863	0.045872201244645
MSTRG.75.1	1816	216	0.6552	-0.232803608483	0.0304651768354607
MSTRG.76.1	6980	249	0.4391	-0.278728163667	0.0192199415262899
MSTRG.77.1	325	60	1.1186	-0.241784060647	0.0235210101364112
MSTRG.78.1	1938	603	0.4	-0.330121782192	0.176120936933618
MSTRG.79.1	753	117	1.0711	-0.00532728388954	0.0797088172858659
MSTRG.80.1	862	126	0.8536	-0.391290846184	0.0125374617277994
MSTRG.81.1	4645	234	0.5063	-0.29183085757	0.0195567424019278
MSTRG.82.1	11801	429	0.5159	-0.125855242358	0.121505339528289
MSTRG.83.1	6404	207	0.8555	-0.425315018636	0.0171753330499332
MSTRG.84.1	8961	297	0.7434	-0.0718361255052	0.0979242295184916
MSTRG.85.1	17569	393	0.6456	-0.0182107292081	0.155579456071575
MSTRG.86.1	3885	261	0.6787	-0.228376821182	0.0422073841946231
MSTRG.87.1	251	69	0.8358	-0.36182683056	0.00922919118940718
MSTRG.88.1	208	150	0.5905	-0.125117343107	0.0271464334715116
MSTRG.89.1	579	93	0.8582	-0.139516309562	0.0276522407198426
MSTRG.90.1	624	174	0.6474	-0.300663158314	0.0175082866189751
MSTRG.91.1	291	96	0.6447	-0.16389686163	0.0174920503926187
MSTRG.92.1	503	72	0.9305	-0.211274513287	0.0204582352194483
MSTRG.93.1	1851	234	0.5747	-0.111601955586	0.0480930177825049
MSTRG.94.1	405	84	0.4189	-0.122767122365	0.0125007151722453
MSTRG.95.1	233	99	0.8107	-0.257951435622	0.0166069912568978
MSTRG.96.1	1276	108	0.9966	0.0140509767944	0.0702537145332829
MSTRG.97.1	220	105	0.572	-0.125983280086	0.0190407664736207
MSTRG.98.1	218	84	0.5646	-0.307847797035	0.00776170165485653
MSTRG.99.1	3717	276	0.5751	-0.311580895419	0.0281209940664173
MSTRG.100.1	1126	138	0.3859	-0.307990400358	0.00804032959045692
MSTRG.101.1	203	111	0.5314	-0.280175805396	0.00991073842773587
MSTRG.102.1	9822	258	0.891	-0.120769359698	0.0796123450866217
MSTRG.103.1	43096	561	1.0714	0.0822780784544	0.531742922312049
MSTRG.104.1	2168	285	0.4779	-0.153227897019	0.0485721140863968
MSTRG.105.1	14613	468	0.4489	-0.113606453356	0.137401849071462
MSTRG.106.1	518	129	0.9247	-0.0505812896295	0.0567053761997658
MSTRG.107.1	23244	348	0.9346	0.000288432603417	0.17715734635224
MSTRG.108.1	51617	558	1.0749	0.480154950617	0.823411745306628
MSTRG.62.1	209	33	0.9312	-0.290029383558	0.0113855963943863
MSTRG.63.1	462	447	1.038	0.259540789262	0.723769412443393
MSTRG.116.1	155412	705	0.5365	-0.616266949701	0.00492391649457672
MSTRG.116.2	154175	705	0.5365	-0.616266949701	0.00506757301052003
MSTRG.116.3	153834	705	0.5365	-0.616266949701	0.00510790241830499
MSTRG.116.4	153310	705	0.5365	-0.616266949701	0.00517049805102434
MSTRG.116.5	152980	705	0.5365	-0.616266949701	0.00521030997644951
MSTRG.116.6	30288	417	0.7321	-0.271635724675	0.0635219012434156
MSTRG.116.7	131787	705	0.5365	-0.616266949701	0.00852049460330127
MSTRG.109.1	15720	411	0.6564	-0.134094150643	0.122163058858048
MSTRG.110.1	308	39	0.957	-0.102908757488	0.0263407354599497
MSTRG.114.2	413778	771	1.135	0.291261512185	0.00236268251117892
MSTRG.114.1	413884	771	1.135	0.291261512185	0.00235685196824345
MSTRG.114.3	413184	771	1.135	0.291261512185	0.0023956228134607
MSTRG.115.1	5969	501	0.4797	-0.107414803281	0.211761293626473
MSTRG.111.1	838	405	1.1748	0.014338084465	0.475834775905157
MSTRG.127.1	33036	639	0.7993	0.182986144643	0.696519375136258
MSTRG.127.2	33035	639	0.7993	0.182986144643	0.696524313947267
MSTRG.127.3	44566	327	0.6682	-0.297945189316	0.0198361092169425
MSTRG.127.4	2770	282	0.9183	0.0940806775089	0.234966120618894
MSTRG.127.5	1853	144	0.9585	-0.150600610985	0.0439176594316973
MSTRG.113.1	15751	3654	0.651	-0.472205052756	0.999999998014351
MSTRG.113.2	21691	3654	0.651	-0.472205052756	0.99999999771873
MSTRG.113.3	19827	2064	0.8986	-0.0471902327816	0.999976682116569
MSTRG.113.4	15437	2064	0.8986	-0.0471902327816	0.999978955235106
MSTRG.112.1	275	54	0.9354	-0.337163375335	0.0109994315131621
MSTRG.117.1	124113	2025	0.7845	-0.321254634826	0.998662357468255
MSTRG.117.2	50413	402	0.5169	-0.389184480333	0.015519530415244
MSTRG.118.1	4193	441	0.7325	-0.0182311967252	0.295034449620817
MSTRG.163.1	245124	5940	0.6759	-0.269079662637	1
MSTRG.163.2	451759	5940	0.6759	-0.269079662637	0.999999999998497
MSTRG.163.3	173986	5940	0.6759	-0.269079662637	1
MSTRG.163.4	517253	5940	0.6759	-0.269079662637	0.999999999993056
MSTRG.163.5	30635	528	0.604	-0.335351912103	0.0834344480318257
MSTRG.163.6	129183	1074	0.4099	-0.0143985568723	0.547914110453308
MSTRG.164.1	1707	381	0.9682	0.21185364088	0.533223781102347
MSTRG.119.1	1371	261	1.2856	0.588871456616	0.803245311767778
MSTRG.124.1	398	138	0.9867	-0.0497903549934	0.0675327295414767
MSTRG.120.1	7543	1599	0.8533	0.0391343612612	0.999616726302282
MSTRG.121.1	24458	315	1.1908	-0.128728332326	0.135491413276767
MSTRG.122.1	2062	213	1.0184	-0.0563255612918	0.110009755353359
MSTRG.123.1	6693	1596	1.2532	0.382019454594	0.999955062152919
MSTRG.128.1	13025	642	0.5919	0.0591371115498	0.605374771931327
MSTRG.125.1	19407	390	0.6531	-0.00733672226557	0.154768395303113
MSTRG.126.1	109799	963	0.5117	-0.0298689674233	0.492551787277521
MSTRG.126.2	109682	963	0.5117	-0.0298689674233	0.493235066619921
MSTRG.126.3	84065	963	0.5117	-0.0298689674233	0.63910279993892
MSTRG.129.1	14868	717	0.6735	0.0666582458341	0.751864160035848
MSTRG.129.2	8461	441	0.5322	-0.114387578283	0.149768456152179
MSTRG.130.1	41461	594	0.874	-0.384810756189	0.133157379382726
MSTRG.131.1	14496	378	0.4781	-0.136270409828	0.0743210812359523
MSTRG.132.1	1244	150	0.9809	0.0671119000504	0.109952859179834
MSTRG.132.2	2913	297	0.5089	-0.191384735457	0.0472419861821411
MSTRG.133.1	223014	489	0.6615	-0.0642919061212	0.00257912937604341
MSTRG.133.2	160565	489	0.6615	-0.0642919061212	0.011001962237583
MSTRG.133.3	222068	489	0.6615	-0.0642919061212	0.00263661858874905
MSTRG.133.4	160197	489	0.6615	-0.0642919061212	0.0110959131032566
MSTRG.133.5	106771	435	0.4762	-0.609982327715	0.00201104242728713
MSTRG.133.6	105551	435	0.4762	-0.609982327715	0.00206907158248335
MSTRG.133.7	81607	435	0.4762	-0.609982327715	0.00361464778238971
MSTRG.134.1	28724	819	0.6193	0.109585401541	0.831404531981176
MSTRG.134.2	206195	5217	0.7604	0.210097635549	0.999999999999892
MSTRG.135.1	6573	399	0.618	-0.461461508717	0.0371533009108244
MSTRG.143.1	158399	675	0.6505	-0.448024229407	0.00905695903759837
MSTRG.143.2	5310	417	0.7414	-0.116166564385	0.189355226414648
MSTRG.137.1	50405	393	0.5217	-0.438826903128	0.0120233120211064
MSTRG.137.2	48266	393	0.5217	-0.438826903128	0.0126316877828023
MSTRG.137.3	43692	393	0.5217	-0.438826903128	0.0140364145557115
MSTRG.136.1	11531	438	0.8415	0.215303528945	0.523324046809514
MSTRG.139.1	205	192	0.6076	-0.0630572930672	0.0478661359361599
MSTRG.138.1	231	57	0.5517	0.311505079548	0.0732594300572474
MSTRG.140.1	203	60	0.5234	-0.0940547589785	0.0143984830664828
MSTRG.141.1	927	147	0.6661	-0.602073280181	0.0043775485370962
MSTRG.142.1	5224	282	0.722	-0.0460615286197	0.101939843590026
MSTRG.147.1	69503	5667	0.9027	-0.235490707028	1
MSTRG.147.2	68777	5667	0.9027	-0.235490707028	1
MSTRG.144.2	1704	168	0.9632	0.0871570078687	0.127523041503097
MSTRG.144.1	1704	168	0.9632	0.0871570078687	0.127523041503097
MSTRG.145.1	13531	552	0.5093	-0.327132595108	0.12279089551781
MSTRG.146.1	152023	5286	0.6635	-0.335357982986	0.999999999999794
MSTRG.148.1	2559	810	1.1062	0.429518109054	0.987327367103867
MSTRG.149.1	1123	618	0.8709	0.143818256878	0.801849044020764
MSTRG.152.1	13850	1017	0.7746	0.254415073865	0.985976920949982
MSTRG.150.1	298	93	0.8509	-0.346339052204	0.0119782273953887
MSTRG.151.1	374	147	0.5152	-0.557197319164	0.00402532359639855
MSTRG.153.1	10502	402	0.6444	-0.0592160127027	0.163650855748108
MSTRG.162.1	86204	456	0.7243	0.165853647029	0.125473118038353
MSTRG.162.2	76055	456	0.7243	0.165853647029	0.153883251206531
MSTRG.162.3	83181	309	0.8612	0.106844579408	0.0512503615828199
MSTRG.162.4	85916	309	0.8612	0.106844579408	0.048230800704305
MSTRG.162.5	4969	309	0.8612	0.106844579408	0.251425827438736
MSTRG.162.6	20632	285	0.7281	-0.113849783553	0.0584136165279559
MSTRG.158.1	11394	492	0.4932	-0.477517907763	0.0476928777092172
MSTRG.158.2	6421	477	0.8592	-0.0729653537226	0.342656466488762
MSTRG.158.3	11206	492	0.4932	-0.477517907763	0.0478927771823603
MSTRG.155.1	317	48	1.0027	-0.398887904009	0.0092821930610866
MSTRG.154.1	676	216	0.5244	-0.278443515761	0.0205637230892704
MSTRG.156.1	202	201	0.6481	0.137626168407	0.116143850651409
MSTRG.157.1	313	69	0.4322	-0.539830410233	0.00211640408469737
MSTRG.159.1	62620	3354	0.6818	0.190933029185	0.999999996754079
MSTRG.160.1	1625	195	0.6656	-0.462346698812	0.0107031079680285
MSTRG.161.1	5482	372	0.7716	0.0371177265144	0.249722929180126
MSTRG.176.1	85820	1062	1.2415	0.374166096054	0.985991984552904
MSTRG.167.1	90054	11934	0.7442	-0.234433841441	1
MSTRG.167.2	89789	11934	0.7442	-0.234433841441	1
MSTRG.165.1	12473	366	0.599	-0.243581674005	0.0586701045037604
MSTRG.166.1	305	144	1.0068	-0.000403236201298	0.087827822050604
MSTRG.169.1	1002	174	1.0626	0.364092731126	0.366740148958585
MSTRG.170.1	1649	729	0.7791	0.159156911772	0.888806025037935
MSTRG.171.1	1897	588	0.688	-0.0905574618386	0.466282348577947
MSTRG.172.1	4197	444	0.8705	0.0777030632784	0.450010091594705
MSTRG.168.1	219	204	1.2868	0.579215739333	0.728107496341355
MSTRG.173.1	225	69	0.8744	-0.189643493236	0.0198452577683
MSTRG.175.1	33691	402	0.554	-0.0440633221564	0.092853332974349
MSTRG.175.2	18533	402	0.554	-0.0440633221564	0.12729161584215
MSTRG.175.3	14137	348	0.5695	-0.518305906109	0.0159501081095343
MSTRG.174.1	3491	597	1.3212	0.0153557642799	0.818056981521764
MSTRG.177.1	63349	966	0.4489	-0.344535186895	0.419174555173998
MSTRG.180.1	135817	654	1.0085	0.313301209522	0.368054083168938
MSTRG.181.1	1090	474	0.6045	-0.0778233767274	0.260743786191495
MSTRG.181.2	396	0	0	0	0.00520737119882997
MSTRG.178.1	37129	468	0.7161	-0.156079519325	0.115082057067276
MSTRG.178.2	16101	366	0.7347	-0.0733507488162	0.128781696476112
MSTRG.179.1	24415	1026	0.883	-0.621977754627	0.665851661317825
MSTRG.189.1	107581	663	0.4797	-0.134180684361	0.0673038333275901
MSTRG.189.2	107219	663	0.4797	-0.134180684361	0.0678367244937581
MSTRG.189.3	106051	663	0.4797	-0.134180684361	0.0695828885739589
MSTRG.189.4	106762	663	0.4797	-0.134180684361	0.0685150495073237
MSTRG.190.1	15449	450	0.8938	-0.054962555412	0.28509964134172
MSTRG.228.1	36163	822	1.0054	-0.0829616376452	0.798068499468309
MSTRG.228.3	32139	822	1.0054	-0.0829616376452	0.812796643975312
MSTRG.228.2	35914	822	1.0054	-0.0829616376452	0.799004444052808
MSTRG.228.4	31945	822	1.0054	-0.0829616376452	0.813485361969789
MSTRG.228.5	30055	822	1.0054	-0.0829616376452	0.820092969888181
MSTRG.228.6	29140	822	1.0054	-0.0829616376452	0.823225637306732
MSTRG.228.7	29557	822	1.0054	-0.0829616376452	0.821803305735153
MSTRG.228.9	29615	822	1.0054	-0.0829616376452	0.821604767060512
MSTRG.228.8	32884	822	1.0054	-0.0829616376452	0.81013363825879
MSTRG.228.11	29251	822	1.0054	-0.0829616376452	0.822847903943367
MSTRG.228.10	29870	822	1.0054	-0.0829616376452	0.820729827047971
MSTRG.228.12	29563	822	1.0054	-0.0829616376452	0.821782775278949
MSTRG.182.1	212	72	0.747	-0.541693742171	0.00385668344136831
MSTRG.183.1	399	75	1.1207	-0.299721185103	0.0207851101306003
MSTRG.184.1	650	120	0.7844	-0.148810981842	0.0281385044473513
MSTRG.186.1	151726	621	0.5447	-0.0555964710122	0.0287147870300696
MSTRG.186.2	313581	1137	0.9265	-0.382985451888	0.0146614770192272
MSTRG.185.1	542	174	0.5607	-0.387426350574	0.0105453101418119
MSTRG.187.1	29830	429	1.1321	0.359258683274	0.674776055217012
MSTRG.187.2	29757	429	1.1321	0.359258683274	0.675150248266781
MSTRG.187.3	29636	429	1.1321	0.359258683274	0.675769993628396
MSTRG.188.4	104603	567	0.7392	-0.0949511386057	0.0685576825713051
MSTRG.188.1	104603	567	0.7392	-0.0949511386057	0.0685576825713051
MSTRG.188.3	104603	567	0.7392	-0.0949511386057	0.0685576825713051
MSTRG.188.2	104468	567	0.7392	-0.0949511386057	0.0687593785098448
MSTRG.188.5	104299	567	0.7392	-0.0949511386057	0.0690126465422093
MSTRG.193.1	78980	1062	0.8343	0.0289388711843	0.904225716629637
MSTRG.193.2	77050	1062	0.8343	0.0289388711843	0.908060368636598
MSTRG.191.1	259	51	0.5063	-0.0416888299995	0.0161415156551246
MSTRG.219.1	613489	16107	0.718	-0.350714023344	1
MSTRG.219.2	613210	16107	0.718	-0.350714023344	1
MSTRG.219.3	40380	369	0.4561	-0.114195148883	0.041387385574496
MSTRG.219.5	612977	16107	0.718	-0.350714023344	1
MSTRG.219.4	108082	486	0.4715	-0.142846394405	0.0185504200259902
MSTRG.219.6	611639	16107	0.718	-0.350714023344	1
MSTRG.219.7	590296	16107	0.718	-0.350714023344	1
MSTRG.220.1	40074	429	0.4784	-0.296529704115	0.0320964811315476
MSTRG.220.2	28668	333	0.3953	0.0502411746243	0.0711323711270941
MSTRG.261.1	553654	3252	0.8969	0.0139990951849	0.999101217996909
MSTRG.261.2	652201	3252	0.8969	0.0139990951849	0.991084863933597
MSTRG.261.3	56476	456	0.9086	-0.325516483401	0.0515034990612024
MSTRG.261.4	53287	456	0.9086	-0.325516483401	0.0552674199174239
MSTRG.192.1	239	168	0.6175	-0.256387890578	0.0191464402880447
MSTRG.195.1	149356	1866	0.5517	-0.378249699939	0.985404593335637
MSTRG.195.2	185112	1386	0.7968	-0.192633358394	0.755431429312185
MSTRG.194.1	395	165	1.0025	-0.123876204443	0.0627478759842393
MSTRG.203.1	99901	756	1.154	0.00158274008298	0.507695800347517
MSTRG.203.2	79660	489	0.5995	-0.105235030943	0.0526003927314937
MSTRG.203.3	17016	468	0.4209	-0.156066114058	0.107277796748355
MSTRG.204.1	1873	267	0.3543	-0.23560443605	0.0249752870662438
MSTRG.196.1	937	519	1.2411	0.37011581236	0.909002296293237
MSTRG.198.1	84489	1458	0.9848	0.29113614437	0.998213879484775
MSTRG.199.1	401	168	0.4786	-0.00110477430765	0.0409072332098463
MSTRG.197.1	1713	288	0.5839	-0.0763095539275	0.0808375526247167
MSTRG.200.1	5033	390	0.8764	-0.159066979125	0.172657504757957
MSTRG.201.1	894	363	1.0451	0.299743959935	0.628210320500934
MSTRG.202.1	253	78	0.9355	0.210280710091	0.110393406544023
MSTRG.245.1	121452	840	0.934	0.20951085453	0.639777719908861
MSTRG.245.2	33141	840	0.934	0.20951085453	0.933252542805303
MSTRG.245.3	90611	840	0.934	0.20951085453	0.784990645676631
MSTRG.245.4	95058	840	0.934	0.20951085453	0.766935495543068
MSTRG.245.5	20233	399	0.7536	-0.0620726627386	0.155918135086296
MSTRG.245.6	95540	840	0.934	0.20951085453	0.764916454401822
MSTRG.245.7	29590	840	0.934	0.20951085453	0.938238714753607
MSTRG.245.8	102599	840	0.934	0.20951085453	0.733976864620612
MSTRG.245.9	102423	840	0.934	0.20951085453	0.734779016133636
MSTRG.245.10	95495	840	0.934	0.20951085453	0.765105465797835
MSTRG.245.11	94992	840	0.934	0.20951085453	0.767211020105154
MSTRG.245.12	26585	840	0.934	0.20951085453	0.942184195583777
MSTRG.245.13	33992	840	0.934	0.20951085453	0.932003242890494
MSTRG.245.14	17110	840	0.934	0.20951085453	0.95312757287381
MSTRG.245.15	72362	840	0.934	0.20951085453	0.84830556388419
MSTRG.245.16	70639	840	0.934	0.20951085453	0.853413698297529
MSTRG.205.1	220	60	0.9149	-0.273735282771	0.0143003675746312
MSTRG.206.1	444	90	0.6889	-0.0563454188237	0.0278328879885878
MSTRG.207.1	264	72	0.5141	-0.321121184322	0.00614094138161722
MSTRG.208.1	1121	150	1.0306	-0.190184630124	0.0453091114953871
MSTRG.209.1	599	111	0.7952	-0.205601392097	0.0215007374911627
MSTRG.210.1	3687	423	0.725	-0.00475346709188	0.279292772447301
MSTRG.211.1	920	339	0.6289	-0.0237055175521	0.14859036664352
MSTRG.212.1	247	66	0.8836	0.0251160724885	0.0462318223577496
MSTRG.213.1	626	165	0.4498	-0.156205208927	0.0204466648415839
MSTRG.214.1	206	60	0.6932	-0.205342088658	0.0125498664592192
MSTRG.215.1	205	114	0.7366	-0.0836301646929	0.0323775111301209
MSTRG.216.1	203	69	0.6483	-0.620951905474	0.00227584438798754
MSTRG.223.1	214	57	0.5359	-0.599349401927	0.00185005034896403
MSTRG.217.1	271	72	0.6167	-0.308788288236	0.00780194946527991
MSTRG.218.1	376	219	0.8264	-0.129192358828	0.0651961687888271
MSTRG.222.1	215	81	0.5859	-0.974016955425	0.000522497696593193
MSTRG.221.1	554	237	0.5425	-0.213200048158	0.0320263610656763
MSTRG.230.1	124145	504	1.1621	0.0651768169767	0.111143397196786
MSTRG.230.2	123658	504	1.1621	0.0651768169767	0.112272479807749
MSTRG.230.3	13701	327	0.6887	-0.330984999085	0.0364029509441554
MSTRG.230.4	69480	504	1.1621	0.0651768169767	0.309622807229333
MSTRG.230.5	32709	372	0.65	-0.230582619739	0.0449213589518944
MSTRG.224.1	305	33	1.0216	-0.0125936504915	0.0405517392874333
MSTRG.225.1	225	93	0.7192	-0.191805307959	0.0175667815804673
MSTRG.226.1	342	81	0.9563	-0.15713581677	0.0284522555526764
MSTRG.227.1	212	42	1.0602	0.168162728353	0.092301665305629
MSTRG.229.1	12529	363	0.5711	-0.0879676077873	0.0985022896356773
MSTRG.252.1	47372	513	0.852	-0.0859987317154	0.195419024713121
MSTRG.252.2	26553	429	0.7475	-0.293626377214	0.070558129639221
MSTRG.252.3	19420	429	0.7475	-0.293626377214	0.0823009427869835
MSTRG.231.1	1448	150	0.5566	-0.0807747985241	0.0296064299406314
MSTRG.234.1	2405	276	0.6784	-0.102492320785	0.0783420774465614
MSTRG.233.1	2891	192	0.842	0.13094796882	0.138961649353118
MSTRG.232.1	3162	405	0.7712	0.133226753103	0.39758286788002
MSTRG.232.2	3179	405	0.7712	0.133226753103	0.397487738108084
MSTRG.238.1	82070	615	0.7915	-0.316122107248	0.0728850712732907
MSTRG.238.2	18405	453	0.4685	-0.217362703127	0.0815373028800289
MSTRG.236.1	40482	543	0.4467	-0.458098511905	0.035135139716361
MSTRG.236.2	40463	543	0.4467	-0.458098511905	0.0351501923202188
MSTRG.235.1	302	87	1.1301	0.0952474537433	0.106088104477344
MSTRG.237.1	10422	390	0.8617	0.0614988920675	0.306109006292268
MSTRG.251.1	42644	717	0.7444	-0.351753361855	0.246155357515281
MSTRG.251.2	10747	312	1.1899	-0.161789853396	0.155592517525724
MSTRG.251.3	22122	717	0.7444	-0.351753361855	0.345306889855231
MSTRG.243.1	2342	555	0.8943	-0.121749118862	0.468174032115434
MSTRG.243.2	1943	555	0.8943	-0.121749118862	0.470495890425632
MSTRG.239.1	276	204	0.9004	-0.447347018012	0.0192274311936462
MSTRG.240.1	4397	708	0.7151	-0.420005453695	0.348854041131176
MSTRG.241.1	1486	78	0.3894	-0.461993358106	0.00278772716236648
MSTRG.242.1	2872	321	1.021	-0.101419405551	0.180978150042063
MSTRG.244.1	1237	180	0.6379	-0.478005006336	0.00865287143893282
MSTRG.248.1	375436	11676	0.4873	-0.524098852448	1
MSTRG.249.1	8630	249	0.7949	-0.126482254087	0.0637567880624138
MSTRG.248.2	203490	11676	0.4873	-0.524098852448	1
MSTRG.250.1	12816	543	0.4467	-0.458098511905	0.0649866789053695
MSTRG.248.3	6320	243	0.4454	-0.281202787554	0.0187307862292732
MSTRG.246.1	28943	276	0.6116	-0.276887324022	0.0194095899021135
MSTRG.246.2	15600	240	0.7168	-0.0224294361077	0.0669556178924875
MSTRG.247.1	55573	1413	1.1891	0.162788214891	0.998546015018252
MSTRG.260.1	5923	303	0.7697	0.116086395299	0.216023723976598
MSTRG.260.2	117109	801	0.6773	0.198015966788	0.467556897947871
MSTRG.260.3	6453	801	0.6773	0.198015966788	0.920961952692778
MSTRG.253.1	242	39	1.1617	-0.0975353531615	0.0389500588503339
MSTRG.254.1	493	135	0.6774	-0.119313201443	0.0290699146652697
MSTRG.256.1	884	192	0.8969	-0.369445449618	0.0236418256380203
